x,value
688.215,82.4010755
688.86,82.3776137
689.505,82.3587501
690.15,82.3584511
690.795,82.3890499
691.44,82.4607081
692.085,82.5687428
692.73,82.6860916
693.375,82.7854217
694.02,82.8606318
694.665,82.9085996
695.31,82.9399004
695.955,82.981084
696.6,83.0506887
697.245,83.1485932
697.89,83.2572022
698.535,83.3497597
699.18,83.4036694
699.825,83.4177606
700.47,83.4161444
701.115,83.4184563
701.76,83.4205911
702.405,83.3969171
703.05,83.3332206
703.695,83.2735039
704.34,83.3022159
704.985,83.4725702
705.63,83.7178164
706.275,83.8836335
706.92,83.9494532
707.565,83.9886845
708.21,84.0435899
708.855,84.1233628
709.5,84.2223546
710.145,84.3281508
710.79,84.4220095
711.435,84.4782341
712.08,84.487044
712.725,84.4791114
713.37,84.5137333
714.015,84.6488594
714.66,84.8769952
715.305,85.1184201
715.95,85.3124649
716.595,85.4272707
717.24,85.4548785
717.885,85.4249437
718.53,85.3782216
719.175,85.3367155
719.82,85.3146117
720.465,85.3334569
721.11,85.4116908
721.755,85.5419665
722.4,85.6895723
723.045,85.8199945
723.69,85.9336106
724.335,86.0562786
724.98,86.1808658
725.625,86.2679299
726.27,86.303238
726.915,86.3053088
727.56,86.3034969
728.205,86.3121628
728.85,86.3258142
729.495,86.3414227
730.14,86.3726884
730.785,86.4266165
731.43,86.4892637
732.075,86.5519886
732.72,86.621784
733.365,86.7052313
734.01,86.7930086
734.655,86.8686789
735.3,86.9413667
735.945,87.0444581
736.59,87.1873391
737.235,87.3060861
737.88,87.3519257
738.525,87.3626213
739.17,87.386837
739.815,87.4365145
740.46,87.4866405
741.105,87.5252074
741.75,87.5835405
742.395,87.7073057
743.04,87.8659449
743.685,87.9162508
744.33,87.8591604
744.975,87.7917712
745.62,87.7481822
746.265,87.7182334
746.91,87.690315
747.555,87.6813055
748.2,87.7509189
748.845,87.9144854
749.49,88.0322214
750.135,88.0639354
750.78,88.0833006
751.425,88.1372422
752.07,88.2442687
752.715,88.3976673
753.36,88.5569228
754.005,88.686896
754.65,88.7829798
755.295,88.848515
755.94,88.8828515
756.585,88.8872474
757.23,88.8760183
757.875,88.8746043
758.52,88.8980484
759.165,88.9565889
759.81,89.062809
760.455,89.203878
761.1,89.3182735
761.745,89.3620868
762.39,89.3585587
763.035,89.3448329
763.68,89.3414376
764.325,89.3561648
764.97,89.3927672
765.615,89.4541221
766.26,89.5283612
766.905,89.5959067
767.55,89.6705218
768.195,89.7793655
768.84,89.9227567
769.485,90.0799451
770.13,90.2329582
770.775,90.3701497
771.42,90.4796899
772.065,90.5510622
772.71,90.5827816
773.355,90.5835173
774,90.573818
774.645,90.5861806
775.29,90.6453626
775.935,90.7546834
776.58,90.8833614
777.225,90.9668028
777.87,90.9897882
778.515,90.9782916
779.16,90.9565343
779.805,90.9391403
780.45,90.9354044
781.095,90.9549871
781.74,91.0096607
782.385,91.0976774
783.03,91.1358883
783.675,90.9741263
784.32,90.7419612
784.965,90.6163087
785.61,90.567674
786.255,90.5386238
786.9,90.5055621
787.545,90.4628197
788.19,90.4283456
788.835,90.4604542
789.48,90.6318047
790.125,90.8526415
790.77,90.9303021
791.415,90.9006913
792.06,90.8580621
792.705,90.8527127
793.35,90.9277672
793.995,91.1576596
794.64,91.55191
795.285,91.7286277
795.93,91.67247163
796.575,91.27328683
797.22,91.40179814
797.865,91.27148114
798.51,91.05250963
799.155,90.96009778
799.8,90.6136768
800.445,90.5043049
801.09,90.4701399
801.735,90.3988445
802.38,90.2453908
803.025,89.9885088
803.67,89.6655884
804.315,89.3300843
804.96,89.0514244
805.605,88.8937938
806.25,88.8342014
806.895,88.851872
807.54,88.940546
808.185,89.0707072
808.83,89.1597736
809.475,89.1472709
810.12,89.0720914
810.765,89.0127129
811.41,89.0025998
812.055,89.0252247
812.7,89.0532323
813.345,89.0586217
813.99,89.0339392
814.635,89.004502
815.28,88.9849681
815.925,88.965232
816.57,88.9385862
817.215,88.9158888
817.86,88.9213134
818.505,88.9722154
819.15,89.0507922
819.795,89.0988635
820.44,89.0963621
821.085,89.0873609
821.73,89.1054973
822.375,89.1541821
823.02,89.226097
823.665,89.3108593
824.31,89.3872936
824.955,89.4426941
825.6,89.5119049
826.245,89.6309997
826.89,89.7784891
827.535,89.9137931
828.18,90.026754
828.825,90.1454588
829.47,90.3582467
830.115,90.7779934
830.76,91.2813107
831.405,91.6306275
832.05,91.8862445
832.695,92.2259153
833.34,92.8475318
833.985,93.7294415
834.63,94.4589171
835.275,94.7265267
835.92,94.8052485
836.565,94.8527028
837.21,94.9176288
837.855,95.0195638
838.5,95.1613885
839.145,95.3178955
839.79,95.437939
840.435,95.4983331
841.08,95.5151296
841.725,95.5103244
842.37,95.506112
843.015,95.5377615
843.66,95.6231071
844.305,95.6872038
844.95,95.6853021
845.595,95.6723729
846.24,95.6916235
846.885,95.7359585
847.53,95.7758511
848.175,95.7874897
848.82,95.7583959
849.465,95.7145829
850.11,95.7251679
850.755,95.8034966
851.4,95.8842581
852.045,95.9200393
852.69,95.9219179
853.335,95.9342022
853.98,95.9820897
854.625,96.0167183
855.27,95.9783546
855.915,95.8711365
856.56,95.7363177
857.205,95.5940217
857.85,95.4316012
858.495,95.2626245
859.14,95.1634312
859.785,95.1754404
860.43,95.2613323
861.075,95.375764
861.72,95.4900662
862.365,95.5834937
863.01,95.6403912
863.655,95.6520231
864.3,95.6228853
864.945,95.5946693
865.59,95.6232593
866.235,95.6940979
866.88,95.7415148
867.525,95.7484999
868.17,95.7450367
868.815,95.7493852
869.46,95.7594451
870.105,95.7580398
870.75,95.7327508
871.395,95.7158352
872.04,95.7206638
872.685,95.7103459
873.33,95.6476351
873.975,95.5151006
874.62,95.3388493
875.265,95.201015
875.91,95.29914943
876.555,95.334285
877.2,95.5302922
877.845,95.359756
878.49,94.759333
879.135,94.5597625
879.78,93.415209
880.425,93.40338133
881.07,93.35219133
881.715,93.3348732
882.36,93.40820129
883.005,93.51424878
883.65,93.5529055
884.295,93.5294901
884.94,93.4922698
885.585,93.426831
886.23,93.3590645
886.875,93.3647293
887.52,93.4570052
888.165,93.5825982
888.81,93.6812438
889.455,93.7410205
890.1,93.798287
890.745,93.881046
891.39,93.9875032
892.035,94.1093302
892.68,94.236218
893.325,94.3353038
893.97,94.385905
894.615,94.4217978
895.26,94.484751
895.905,94.5864463
896.55,94.7055516
897.195,94.8284051
897.84,94.9700208
898.485,95.1340932
899.13,95.2841404
899.775,95.3849381
900.42,95.4410794
901.065,95.4775802
901.71,95.5191404
902.355,95.5767392
903,95.642038
903.645,95.7025486
904.29,95.7538319
904.935,95.7967236
905.58,95.8353211
906.225,95.8739353
906.87,95.9103611
907.515,95.9407098
908.16,95.9701705
908.805,96.0052059
909.45,96.038781
910.095,96.0619191
910.74,96.0947351
911.385,96.177239
912.03,96.3134965
912.675,96.4644442
913.32,96.6111024
913.965,96.7605458
914.61,96.9085301
915.255,97.0467623
915.9,97.1713204
916.545,97.2721112
917.19,97.3286217
917.835,97.3471646
918.48,97.3646177
919.125,97.402787
919.77,97.4566914
920.415,97.5099079
921.06,97.5636364
921.705,97.6366259
922.35,97.7192593
922.995,97.7829414
923.64,97.8175457
924.285,97.8351982
924.93,97.8606301
925.575,97.9194218
926.22,98.0306554
926.865,98.1891633
927.51,98.3421571
928.155,98.5076184
928.8,98.832634
929.445,99.1461569
930.09,99.3002198
930.735,99.3560272
931.38,99.3664075
932.025,99.356997
932.67,99.3358624
933.315,99.3077794
933.96,99.2851918
